Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Lead_Time_Days,GSCPI,gust_kph,precip_mm
SC-11299,2025-12-03,Dubai,Singapore,Rail,Automotive,10743.9,156.44,14.66,0.56,13.7,0.0
SC-11300,2024-02-20,Shanghai,Singapore,Road,Automotive,958.0,391.68,1.01,-0.19,13.7,0.0
SC-11301,2025-09-12,Busan,Antwerp,Air,Textiles,14075.08,221.88,8.06,-0.02,15.88125,0.1625
SC-11302,2025-05-23,Rotterdam,Shanghai,Rail,Electronics,1253.58,243.15,2.74,0.28,6.4,0.1875
SC-11303,2024-10-20,Busan,Rotterdam,Rail,Automotive,8348.8,389.18,7.92,-0.35,16.075,0.03125
SC-11304,2024-08-23,Dubai,Hamburg,Rail,Perishables,10781.38,191.8,30.32,0.21,14.15,0.2625
SC-11305,2025-09-13,Rotterdam,Los Angeles,Sea,Electronics,13129.05,222.12,28.93,-0.02,11.125,0.0
SC-11306,2024-12-26,Antwerp,Dubai,Air,Electronics,10854.26,188.72,0.88,-0.26,22.25625,0.0
SC-11307,2024-08-12,Busan,Rotterdam,Road,Electronics,12125.06,184.3,60.93,0.21,16.075,0.03125
SC-11308,2025-10-13,Busan,Hamburg,Air,Perishables,5422.03,263.45,3.93,-0.08,14.15,0.2625
SC-11309,2024-07-13,Rotterdam,Singapore,Rail,Textiles,12314.96,404.59,82.61,-0.05,13.7,0.0
SC-11310,2025-09-27,Rotterdam,Antwerp,Rail,Pharmaceuticals,1661.67,181.52,1.66,-0.02,15.88125,0.1625
SC-11311,2024-09-13,Los Angeles,Rotterdam,Air,Pharmaceuticals,13474.84,262.6,2.81,0.1,16.075,0.03125
SC-11312,2025-11-25,Los Angeles,Antwerp,Rail,Electronics,8440.09,335.69,7.35,-0.15,15.88125,0.1625
SC-11313,2025-11-06,Singapore,Marseille,Air,Automotive,12350.82,135.45,1.28,-0.15,13.7,0.11875
SC-11314,2025-11-28,Antwerp,Busan,Sea,Perishables,7058.62,139.48,16.61,-0.15,6.4125,0.08125
SC-11315,2024-05-20,Singapore,Busan,Sea,Perishables,9831.88,466.77,20.04,-0.59,6.4125,0.08125
SC-11316,2025-10-05,Hamburg,Singapore,Road,Electronics,8132.84,362.04,5.72,-0.08,13.7,0.0
SC-11317,2024-04-09,Antwerp,Shanghai,Road,Electronics,11108.05,289.02,14.55,-0.96,6.4,0.1875
SC-11318,2025-10-04,Los Angeles,Singapore,Rail,Electronics,1683.63,324.21,2.08,-0.08,13.7,0.0
SC-11319,2025-10-23,Los Angeles,Hamburg,Road,Pharmaceuticals,1375.11,15.62,3.1,-0.08,14.15,0.2625
SC-11320,2024-02-10,Los Angeles,Shanghai,Rail,Textiles,4083.0,309.43,32.24,-0.19,6.4,0.1875
SC-11321,2024-11-12,Shanghai,Dubai,Rail,Pharmaceuticals,2813.4,255.24,3.1,-0.28,22.25625,0.0
SC-11322,2025-03-27,Rotterdam,Shanghai,Sea,Textiles,13140.86,273.33,27.52,-0.19,6.4,0.1875
SC-11323,2024-02-04,Busan,Hamburg,Air,Pharmaceuticals,3678.6,180.35,1.23,-0.19,14.15,0.2625
SC-11324,2025-08-16,Busan,Marseille,Sea,Perishables,14650.05,41.66,236.39,-0.08,13.7,0.11875
SC-11325,2025-01-08,Dubai,Marseille,Rail,Electronics,5384.99,97.48,12.71,-0.18,13.7,0.11875
SC-11326,2024-05-14,Busan,Singapore,Air,Electronics,3140.71,475.42,1.11,-0.59,13.7,0.0
SC-11327,2024-04-02,Los Angeles,Shanghai,Air,Electronics,11950.63,204.94,1.47,-0.96,6.4,0.1875
SC-11328,2024-10-29,Antwerp,Singapore,Rail,Pharmaceuticals,10051.26,233.87,75.18,-0.35,13.7,0.0
SC-11329,2024-11-30,Antwerp,Los Angeles,Rail,Pharmaceuticals,7723.84,27.3,10.54,-0.28,11.125,0.0
SC-11330,2025-03-01,Singapore,Rotterdam,Air,Pharmaceuticals,8552.77,19.75,4.05,-0.19,16.075,0.03125
SC-11331,2024-06-28,Antwerp,Busan,Road,Textiles,10928.43,358.87,10.69,-0.35,6.4125,0.08125
SC-11332,2024-07-24,Dubai,Rotterdam,Sea,Perishables,3812.59,269.51,6.73,-0.05,16.075,0.03125
SC-11333,2024-05-15,Antwerp,Los Angeles,Rail,Electronics,14946.84,254.84,18.23,-0.59,11.125,0.0
SC-11334,2025-07-06,Singapore,Rotterdam,Sea,Automotive,14634.5,122.32,26.77,0.02,16.075,0.03125
SC-11335,2025-01-09,Shanghai,Hamburg,Rail,Electronics,9929.72,372.63,12.34,-0.18,14.15,0.2625
SC-11336,2025-06-27,Busan,Hamburg,Sea,Pharmaceuticals,3393.37,84.95,43.93,0.08,14.15,0.2625
SC-11337,2025-05-28,Busan,Singapore,Rail,Electronics,10363.31,95.78,26.01,0.28,13.7,0.0
SC-11338,2024-10-06,Singapore,Busan,Air,Automotive,1546.88,230.9,0.5,-0.35,6.4125,0.08125
SC-11339,2024-06-17,Los Angeles,Marseille,Air,Textiles,944.46,143.85,0.5,-0.35,13.7,0.11875
SC-11340,2024-09-20,Antwerp,Shanghai,Air,Automotive,4236.4,124.48,0.79,0.1,6.4,0.1875
SC-11341,2025-05-08,Singapore,Shanghai,Air,Electronics,7208.03,322.97,0.5,0.28,6.4,0.1875
SC-11342,2024-10-29,Antwerp,Singapore,Rail,Perishables,13089.95,325.83,19.4,-0.35,13.7,0.0
SC-11343,2024-12-12,Singapore,Rotterdam,Air,Perishables,11043.95,412.43,1.68,-0.26,16.075,0.03125
SC-11344,2024-04-27,Los Angeles,Shanghai,Rail,Perishables,11269.24,209.44,14.46,-0.96,6.4,0.1875
SC-11345,2025-04-24,Hamburg,Shanghai,Rail,Automotive,6669.65,37.47,46.65,-0.25,6.4,0.1875
SC-11346,2024-03-18,Busan,Los Angeles,Sea,Pharmaceuticals,5516.06,137.56,72.07,-0.36,11.125,0.0
SC-11347,2024-05-24,Antwerp,Los Angeles,Road,Automotive,5880.06,490.02,4.28,-0.59,11.125,0.0
SC-11348,2024-08-19,Hamburg,Shanghai,Air,Automotive,14820.92,298.53,2.92,0.21,6.4,0.1875
SC-11349,2025-11-23,Hamburg,Busan,Air,Perishables,1081.58,355.16,0.5,-0.15,6.4125,0.08125
SC-11350,2025-11-21,Busan,Singapore,Sea,Electronics,13071.96,4.67,18.61,-0.15,13.7,0.0
SC-11351,2025-02-10,Rotterdam,Busan,Sea,Automotive,8890.79,259.58,50.86,0.0,6.4125,0.08125
SC-11352,2025-07-24,Antwerp,Marseille,Sea,Pharmaceuticals,6859.92,19.73,8.99,0.02,13.7,0.11875
SC-11353,2025-01-09,Hamburg,Singapore,Road,Pharmaceuticals,11016.24,285.05,11.98,-0.18,13.7,0.0
SC-11354,2024-04-02,Singapore,Shanghai,Road,Perishables,7556.7,460.46,16.94,-0.96,6.4,0.1875
SC-11355,2025-02-08,Rotterdam,Hamburg,Sea,Perishables,13164.64,484.24,32.57,0.0,14.15,0.2625
SC-11356,2024-01-15,Busan,Antwerp,Sea,Pharmaceuticals,13560.18,270.74,154.48,-0.34,15.88125,0.1625
SC-11357,2024-09-27,Busan,Marseille,Air,Automotive,6614.95,229.64,0.75,0.1,13.7,0.11875
SC-11358,2025-07-03,Shanghai,Rotterdam,Air,Perishables,4514.0,472.56,1.8,0.02,16.075,0.03125
SC-11359,2024-05-06,Shanghai,Los Angeles,Sea,Electronics,9089.08,337.13,26.61,-0.59,11.125,0.0
SC-11360,2025-04-10,Rotterdam,Hamburg,Air,Electronics,13729.27,33.38,1.15,-0.25,14.15,0.2625
SC-11361,2025-01-12,Rotterdam,Busan,Road,Textiles,3554.6,233.4,2.95,-0.18,6.4125,0.08125
SC-11362,2025-11-19,Antwerp,Shanghai,Air,Electronics,9533.02,120.88,0.5,-0.15,6.4,0.1875
SC-11363,2025-11-19,Antwerp,Marseille,Air,Automotive,9657.62,235.43,5.67,-0.15,13.7,0.11875
SC-11364,2024-09-25,Dubai,Rotterdam,Road,Pharmaceuticals,11130.14,228.28,10.36,0.1,16.075,0.03125
SC-11365,2025-08-21,Busan,Singapore,Rail,Electronics,2407.73,291.49,2.01,-0.08,13.7,0.0
SC-11366,2025-01-25,Singapore,Rotterdam,Air,Automotive,10879.46,179.03,0.74,-0.18,16.075,0.03125
SC-11367,2025-10-15,Rotterdam,Marseille,Sea,Perishables,13680.97,82.97,170.77,-0.08,13.7,0.11875
SC-11368,2025-01-15,Busan,Los Angeles,Road,Pharmaceuticals,3105.41,252.36,18.89,-0.18,11.125,0.0
SC-11369,2024-04-20,Los Angeles,Rotterdam,Sea,Automotive,3944.38,415.27,8.0,-0.96,16.075,0.03125
SC-11370,2025-11-22,Busan,Los Angeles,Sea,Perishables,14585.23,332.34,31.2,-0.15,11.125,0.0
SC-11371,2024-08-27,Shanghai,Busan,Sea,Pharmaceuticals,3124.17,169.85,5.62,0.21,6.4125,0.08125
SC-11372,2025-04-27,Hamburg,Busan,Road,Automotive,12888.58,467.83,13.93,-0.25,6.4125,0.08125
SC-11373,2024-01-26,Dubai,Hamburg,Rail,Pharmaceuticals,7638.03,456.19,8.39,-0.34,14.15,0.2625
SC-11374,2025-09-26,Rotterdam,Hamburg,Road,Automotive,4084.85,105.46,21.2,-0.02,14.15,0.2625
SC-11375,2025-07-28,Shanghai,Marseille,Sea,Textiles,13125.87,20.67,23.89,0.02,13.7,0.11875
SC-11376,2024-12-01,Shanghai,Busan,Road,Perishables,6956.93,370.91,6.88,-0.26,6.4125,0.08125
SC-11377,2025-09-16,Shanghai,Dubai,Road,Electronics,7964.85,413.98,8.87,-0.02,22.25625,0.0
SC-11378,2024-08-14,Busan,Hamburg,Sea,Perishables,5708.88,483.96,14.55,0.21,14.15,0.2625
SC-11379,2025-10-25,Dubai,Antwerp,Sea,Perishables,9097.79,445.03,29.16,-0.08,15.88125,0.1625
SC-11380,2024-03-05,Shanghai,Antwerp,Air,Textiles,2871.1,300.67,0.84,-0.36,15.88125,0.1625
SC-11381,2025-10-12,Antwerp,Shanghai,Air,Pharmaceuticals,6170.68,265.5,0.51,-0.08,6.4,0.1875
SC-11382,2025-04-20,Rotterdam,Busan,Sea,Pharmaceuticals,14556.48,14.89,205.11,-0.25,6.4125,0.08125
SC-11383,2025-12-18,Antwerp,Marseille,Sea,Automotive,4242.93,124.08,22.85,0.56,13.7,0.11875
SC-11384,2024-11-05,Antwerp,Marseille,Sea,Electronics,10022.68,230.35,24.04,-0.28,13.7,0.11875
SC-11385,2025-10-26,Singapore,Rotterdam,Rail,Pharmaceuticals,5215.26,314.62,12.14,-0.08,16.075,0.03125
SC-11386,2025-02-22,Rotterdam,Singapore,Road,Perishables,11715.36,279.07,9.29,0.0,13.7,0.0
SC-11387,2024-04-29,Dubai,Hamburg,Sea,Pharmaceuticals,2397.67,371.58,6.2,-0.96,14.15,0.2625
SC-11388,2024-05-23,Rotterdam,Busan,Air,Perishables,14562.41,140.6,7.95,-0.59,6.4125,0.08125
SC-11389,2024-02-16,Rotterdam,Shanghai,Sea,Perishables,7079.95,282.91,14.77,-0.19,6.4,0.1875
SC-11390,2024-02-08,Rotterdam,Antwerp,Air,Electronics,3922.73,44.98,1.04,-0.19,15.88125,0.1625
SC-11391,2024-11-07,Rotterdam,Singapore,Road,Textiles,1565.7,207.42,1.07,-0.28,13.7,0.0
SC-11392,2025-05-19,Singapore,Hamburg,Rail,Perishables,2961.49,375.33,21.7,0.28,14.15,0.2625
SC-11393,2024-04-28,Antwerp,Singapore,Road,Perishables,8036.72,347.01,5.18,-0.96,13.7,0.0
SC-11394,2024-04-09,Hamburg,Busan,Road,Perishables,5386.55,495.33,3.6,-0.96,6.4125,0.08125
SC-11395,2024-08-28,Hamburg,Singapore,Rail,Automotive,12518.81,139.67,16.05,0.21,13.7,0.0
SC-11396,2025-07-04,Busan,Dubai,Rail,Perishables,6747.87,249.6,6.45,0.02,22.25625,0.0
SC-11397,2024-05-18,Hamburg,Rotterdam,Sea,Pharmaceuticals,4106.36,165.44,9.02,-0.59,16.075,0.03125
SC-11398,2025-02-01,Rotterdam,Busan,Road,Pharmaceuticals,9448.6,220.86,5.13,0.0,6.4125,0.08125
SC-11399,2025-04-09,Shanghai,Busan,Sea,Automotive,10748.27,428.62,21.66,-0.25,6.4125,0.08125
SC-11400,2025-01-14,Rotterdam,Hamburg,Air,Electronics,2922.11,342.42,0.5,-0.18,14.15,0.2625
SC-11401,2025-11-17,Los Angeles,Singapore,Road,Textiles,2930.48,441.34,8.07,-0.15,13.7,0.0
SC-11402,2025-12-14,Singapore,Rotterdam,Rail,Perishables,1031.74,102.55,1.67,0.56,16.075,0.03125
SC-11403,2025-07-07,Hamburg,Dubai,Rail,Perishables,11177.83,436.81,11.72,0.02,22.25625,0.0
SC-11404,2025-03-05,Singapore,Los Angeles,Air,Textiles,10125.17,30.82,1.96,-0.19,11.125,0.0
SC-11405,2025-08-24,Busan,Dubai,Sea,Perishables,7382.15,444.41,45.21,-0.08,22.25625,0.0
SC-11406,2024-06-07,Busan,Antwerp,Sea,Textiles,12740.47,165.21,28.92,-0.35,15.88125,0.1625
SC-11407,2025-02-28,Busan,Shanghai,Rail,Automotive,12182.22,157.98,12.23,0.0,6.4,0.1875
SC-11408,2025-11-01,Singapore,Rotterdam,Sea,Textiles,8987.64,256.53,15.24,-0.15,16.075,0.03125
SC-11409,2024-04-11,Busan,Rotterdam,Sea,Automotive,13089.93,470.4,78.96,-0.96,16.075,0.03125
SC-11410,2025-05-16,Los Angeles,Dubai,Rail,Perishables,3484.7,24.84,4.0,0.28,22.25625,0.0
SC-11411,2025-09-22,Los Angeles,Dubai,Sea,Perishables,2122.83,176.76,5.33,-0.02,22.25625,0.0
SC-11412,2025-02-21,Busan,Marseille,Rail,Electronics,4411.37,428.43,7.18,0.0,13.7,0.11875
SC-11413,2024-10-13,Busan,Rotterdam,Air,Pharmaceuticals,1327.76,198.63,0.5,-0.35,16.075,0.03125
SC-11414,2024-02-03,Antwerp,Hamburg,Air,Textiles,8201.96,100.38,4.99,-0.19,14.15,0.2625
SC-11415,2025-12-07,Busan,Hamburg,Road,Electronics,14080.78,212.97,14.49,0.56,14.15,0.2625
SC-11416,2025-01-14,Shanghai,Antwerp,Road,Pharmaceuticals,1070.48,193.39,1.04,-0.18,15.88125,0.1625
SC-11417,2024-08-10,Singapore,Shanghai,Rail,Automotive,2270.59,457.79,16.73,0.21,6.4,0.1875
SC-11418,2025-03-30,Los Angeles,Busan,Sea,Electronics,7056.89,381.21,107.11,-0.19,6.4125,0.08125
SC-11419,2025-03-31,Hamburg,Antwerp,Air,Electronics,14041.19,253.05,0.71,-0.19,15.88125,0.1625
SC-11420,2024-08-29,Los Angeles,Busan,Road,Perishables,5084.26,494.2,4.58,0.21,6.4125,0.08125
SC-11421,2025-01-06,Singapore,Rotterdam,Air,Electronics,7854.9,233.17,0.75,-0.18,16.075,0.03125
SC-11422,2024-04-11,Rotterdam,Hamburg,Air,Textiles,1102.81,30.06,0.5,-0.96,14.15,0.2625
SC-11423,2025-12-03,Rotterdam,Marseille,Air,Automotive,2650.98,131.87,0.57,0.56,13.7,0.11875
SC-11424,2025-01-11,Singapore,Dubai,Air,Textiles,14806.14,218.6,1.76,-0.18,22.25625,0.0
SC-11425,2025-07-11,Dubai,Marseille,Air,Textiles,14494.22,79.29,4.26,0.02,13.7,0.11875
SC-11426,2025-10-22,Singapore,Antwerp,Sea,Perishables,571.63,473.83,0.84,-0.08,15.88125,0.1625
SC-11427,2025-01-02,Rotterdam,Shanghai,Air,Automotive,14301.27,383.66,1.54,-0.18,6.4,0.1875
SC-11428,2024-03-03,Singapore,Marseille,Road,Pharmaceuticals,9767.24,134.88,11.21,-0.36,13.7,0.11875
SC-11429,2025-02-11,Hamburg,Singapore,Rail,Pharmaceuticals,13084.82,295.81,17.06,0.0,13.7,0.0
SC-11430,2024-10-09,Dubai,Rotterdam,Rail,Pharmaceuticals,7093.73,361.0,16.69,-0.35,16.075,0.03125
SC-11431,2024-07-13,Shanghai,Los Angeles,Rail,Automotive,7976.14,470.7,7.09,-0.05,11.125,0.0
SC-11432,2024-05-05,Singapore,Shanghai,Road,Automotive,7588.28,440.94,51.19,-0.59,6.4,0.1875
SC-11433,2025-04-10,Shanghai,Marseille,Sea,Pharmaceuticals,10169.53,258.08,128.34,-0.25,13.7,0.11875
SC-11434,2024-04-03,Antwerp,Busan,Sea,Automotive,2524.94,387.55,6.13,-0.96,6.4125,0.08125
SC-11435,2025-11-09,Rotterdam,Busan,Rail,Electronics,934.62,281.51,6.49,-0.15,6.4125,0.08125
SC-11436,2024-08-05,Rotterdam,Dubai,Sea,Automotive,4964.98,276.8,10.93,0.21,22.25625,0.0
SC-11437,2025-10-19,Hamburg,Los Angeles,Rail,Perishables,10717.87,58.26,11.76,-0.08,11.125,0.0
SC-11438,2025-10-16,Rotterdam,Los Angeles,Air,Perishables,3426.88,63.94,0.5,-0.08,11.125,0.0
SC-11439,2025-09-03,Busan,Shanghai,Road,Textiles,10264.77,265.24,21.88,-0.02,6.4,0.1875
SC-11440,2024-01-22,Dubai,Rotterdam,Sea,Pharmaceuticals,14563.72,135.16,24.51,-0.34,16.075,0.03125
SC-11441,2024-02-21,Singapore,Antwerp,Rail,Electronics,1861.56,11.5,1.7,-0.19,15.88125,0.1625
SC-11442,2024-12-07,Shanghai,Antwerp,Sea,Pharmaceuticals,10252.73,361.7,122.85,-0.26,15.88125,0.1625
SC-11443,2024-09-06,Hamburg,Shanghai,Rail,Electronics,6934.38,17.21,19.48,0.1,6.4,0.1875
SC-11444,2024-05-08,Dubai,Singapore,Air,Automotive,13088.06,298.04,0.82,-0.59,13.7,0.0
SC-11445,2025-08-01,Dubai,Hamburg,Road,Perishables,3068.67,270.06,2.57,-0.08,14.15,0.2625
SC-11446,2024-07-29,Antwerp,Shanghai,Road,Automotive,10543.08,484.44,26.69,-0.05,6.4,0.1875
SC-11447,2024-03-11,Shanghai,Singapore,Road,Textiles,12652.67,242.62,12.62,-0.36,13.7,0.0
SC-11448,2025-07-21,Antwerp,Shanghai,Road,Automotive,14196.91,32.74,17.75,0.02,6.4,0.1875
SC-11449,2024-07-31,Shanghai,Busan,Sea,Pharmaceuticals,10407.1,276.29,52.41,-0.05,6.4125,0.08125
SC-11450,2025-08-23,Hamburg,Dubai,Sea,Automotive,7709.03,420.71,17.98,-0.08,22.25625,0.0
SC-11451,2024-08-09,Busan,Singapore,Sea,Automotive,9458.78,498.43,21.38,0.21,13.7,0.0
SC-11452,2024-08-26,Rotterdam,Marseille,Air,Textiles,13099.12,215.74,5.94,0.21,13.7,0.11875
SC-11453,2024-12-02,Shanghai,Dubai,Road,Pharmaceuticals,8773.84,160.83,8.25,-0.26,22.25625,0.0
SC-11454,2024-05-31,Hamburg,Shanghai,Sea,Electronics,940.61,453.42,1.67,-0.59,6.4,0.1875
SC-11455,2025-09-02,Dubai,Busan,Sea,Perishables,13998.76,96.43,33.96,-0.02,6.4125,0.08125
SC-11456,2024-01-03,Antwerp,Marseille,Air,Automotive,10498.14,308.1,1.5,-0.34,13.7,0.11875
SC-11457,2024-10-10,Los Angeles,Rotterdam,Sea,Automotive,10309.44,203.45,157.02,-0.35,16.075,0.03125
SC-11458,2024-05-28,Los Angeles,Marseille,Air,Electronics,3627.29,21.5,0.5,-0.59,13.7,0.11875
SC-11459,2024-05-13,Singapore,Los Angeles,Rail,Electronics,10053.84,174.3,28.67,-0.59,11.125,0.0
SC-11460,2025-07-07,Shanghai,Hamburg,Road,Electronics,6211.03,133.35,4.42,0.02,14.15,0.2625
SC-11461,2024-09-13,Shanghai,Busan,Road,Textiles,9942.88,343.36,66.58,0.1,6.4125,0.08125
SC-11462,2024-06-27,Busan,Marseille,Sea,Perishables,2045.6,474.45,3.44,-0.35,13.7,0.11875
SC-11463,2024-04-22,Hamburg,Marseille,Sea,Pharmaceuticals,10038.76,134.76,28.55,-0.96,13.7,0.11875
SC-11464,2025-11-07,Antwerp,Los Angeles,Road,Textiles,14991.5,405.92,9.61,-0.15,11.125,0.0
SC-11465,2024-01-27,Dubai,Los Angeles,Air,Textiles,1199.07,28.62,0.5,-0.34,11.125,0.0
SC-11466,2024-05-14,Hamburg,Rotterdam,Road,Electronics,14669.03,269.52,32.28,-0.59,16.075,0.03125
SC-11467,2024-01-16,Dubai,Antwerp,Sea,Textiles,6400.17,36.2,14.36,-0.34,15.88125,0.1625
SC-11468,2025-01-01,Rotterdam,Los Angeles,Rail,Pharmaceuticals,13125.93,467.08,13.98,-0.18,11.125,0.0
SC-11469,2024-08-31,Busan,Shanghai,Air,Perishables,11844.59,383.41,0.94,0.21,6.4,0.1875
SC-11470,2025-08-25,Busan,Singapore,Sea,Pharmaceuticals,8721.74,329.32,15.08,-0.08,13.7,0.0
SC-11471,2024-11-27,Busan,Shanghai,Air,Electronics,11207.51,412.12,0.5,-0.28,6.4,0.1875
SC-11472,2024-01-17,Rotterdam,Los Angeles,Air,Perishables,13238.48,324.11,2.07,-0.34,11.125,0.0
SC-11473,2024-06-27,Los Angeles,Singapore,Rail,Pharmaceuticals,6360.03,484.5,7.29,-0.35,13.7,0.0
SC-11474,2024-09-28,Hamburg,Rotterdam,Rail,Automotive,5241.98,357.27,41.3,0.1,16.075,0.03125
SC-11475,2024-02-23,Los Angeles,Singapore,Rail,Pharmaceuticals,10180.1,462.4,8.3,-0.19,13.7,0.0
SC-11476,2024-05-09,Singapore,Dubai,Sea,Automotive,12213.77,259.05,18.25,-0.59,22.25625,0.0
SC-11477,2025-03-07,Shanghai,Antwerp,Road,Textiles,11553.13,59.42,23.39,-0.19,15.88125,0.1625
SC-11478,2025-06-22,Singapore,Shanghai,Air,Automotive,12068.3,264.56,1.01,0.08,6.4,0.1875
SC-11479,2024-04-26,Busan,Dubai,Road,Textiles,6815.96,64.31,5.87,-0.96,22.25625,0.0
SC-11480,2024-03-06,Shanghai,Rotterdam,Sea,Textiles,12358.6,296.65,20.62,-0.36,16.075,0.03125
SC-11481,2025-05-02,Los Angeles,Busan,Road,Pharmaceuticals,2243.03,241.76,2.1,0.28,6.4125,0.08125
SC-11482,2025-04-04,Antwerp,Los Angeles,Road,Electronics,8395.09,311.67,7.41,-0.25,11.125,0.0
SC-11483,2025-01-05,Antwerp,Los Angeles,Road,Textiles,583.5,6.01,0.62,-0.18,11.125,0.0
SC-11484,2025-06-09,Singapore,Busan,Air,Textiles,5206.49,98.23,1.1,0.08,6.4125,0.08125
SC-11485,2025-08-30,Dubai,Marseille,Air,Automotive,5813.69,246.17,0.56,-0.08,13.7,0.11875
SC-11486,2024-04-21,Dubai,Marseille,Rail,Textiles,6244.5,475.3,5.81,-0.96,13.7,0.11875
SC-11487,2025-04-07,Los Angeles,Rotterdam,Rail,Perishables,10584.27,192.42,73.58,-0.25,16.075,0.03125
SC-11488,2025-05-30,Singapore,Shanghai,Sea,Textiles,6134.09,212.76,13.33,0.28,6.4,0.1875
SC-11489,2024-08-14,Los Angeles,Busan,Sea,Electronics,7006.06,357.63,13.6,0.21,6.4125,0.08125
SC-11490,2025-09-21,Hamburg,Antwerp,Air,Perishables,3944.39,302.29,0.5,-0.02,15.88125,0.1625
SC-11491,2024-02-14,Hamburg,Antwerp,Rail,Perishables,5912.15,150.16,13.06,-0.19,15.88125,0.1625
SC-11492,2025-11-05,Shanghai,Marseille,Sea,Automotive,3795.41,206.0,51.1,-0.15,13.7,0.11875
SC-11493,2025-06-17,Hamburg,Shanghai,Road,Electronics,1561.34,109.63,9.44,0.08,6.4,0.1875
SC-11494,2024-11-04,Hamburg,Rotterdam,Air,Automotive,9250.0,483.04,1.24,-0.28,16.075,0.03125
SC-11495,2025-04-14,Dubai,Hamburg,Rail,Electronics,10189.09,66.19,26.54,-0.25,14.15,0.2625
SC-11496,2025-10-20,Singapore,Shanghai,Rail,Electronics,9482.61,186.55,11.37,-0.08,6.4,0.1875
SC-11497,2024-02-01,Shanghai,Marseille,Air,Electronics,7220.66,13.89,0.95,-0.19,13.7,0.11875
SC-11498,2024-03-03,Dubai,Busan,Road,Pharmaceuticals,6006.89,111.67,32.76,-0.36,6.4125,0.08125
SC-11499,2025-05-05,Dubai,Los Angeles,Air,Electronics,13018.34,390.46,1.49,0.28,11.125,0.0
SC-11500,2025-02-15,Antwerp,Singapore,Road,Pharmaceuticals,8026.69,101.39,44.71,0.0,13.7,0.0
SC-11501,2025-03-12,Singapore,Dubai,Sea,Automotive,7448.14,40.95,17.43,-0.19,22.25625,0.0
SC-11502,2025-12-03,Rotterdam,Singapore,Air,Automotive,871.81,237.75,0.5,0.56,13.7,0.0
SC-11503,2024-04-20,Los Angeles,Marseille,Air,Pharmaceuticals,5448.09,5.97,0.5,-0.96,13.7,0.11875
SC-11504,2025-05-17,Dubai,Hamburg,Rail,Automotive,6012.84,43.3,13.18,0.28,14.15,0.2625
SC-11505,2025-12-30,Dubai,Hamburg,Sea,Electronics,6282.93,404.01,82.81,0.56,14.15,0.2625
SC-11506,2025-03-30,Busan,Antwerp,Sea,Pharmaceuticals,8912.5,385.97,128.79,-0.19,15.88125,0.1625
SC-11507,2024-03-16,Busan,Dubai,Sea,Pharmaceuticals,8237.24,457.65,16.1,-0.36,22.25625,0.0
SC-11508,2024-03-23,Singapore,Shanghai,Rail,Electronics,9314.62,427.4,22.45,-0.36,6.4,0.1875
SC-11509,2024-11-25,Rotterdam,Marseille,Road,Electronics,11590.81,341.9,10.41,-0.28,13.7,0.11875
SC-11510,2025-09-14,Busan,Hamburg,Sea,Perishables,12288.29,27.11,23.97,-0.02,14.15,0.2625
SC-11511,2024-05-31,Rotterdam,Shanghai,Sea,Electronics,10912.78,391.64,147.62,-0.59,6.4,0.1875
SC-11512,2024-03-08,Busan,Los Angeles,Rail,Automotive,14355.09,422.91,15.35,-0.36,11.125,0.0
SC-11513,2024-05-09,Dubai,Hamburg,Sea,Textiles,764.37,399.74,1.59,-0.59,14.15,0.2625
SC-11514,2024-10-08,Busan,Antwerp,Rail,Textiles,3338.78,254.73,9.78,-0.35,15.88125,0.1625
SC-11515,2025-10-01,Antwerp,Singapore,Rail,Perishables,609.66,117.22,3.54,-0.08,13.7,0.0
SC-11516,2025-10-10,Singapore,Shanghai,Air,Electronics,9888.38,422.82,1.4,-0.08,6.4,0.1875
SC-11517,2025-08-22,Hamburg,Busan,Sea,Pharmaceuticals,13521.44,363.85,40.31,-0.08,6.4125,0.08125
SC-11518,2025-07-15,Dubai,Hamburg,Road,Perishables,4030.49,490.4,25.56,0.02,14.15,0.2625
SC-11519,2025-12-30,Singapore,Marseille,Rail,Pharmaceuticals,13942.0,78.69,9.41,0.56,13.7,0.11875
SC-11520,2024-11-28,Los Angeles,Singapore,Air,Electronics,1373.88,113.61,0.5,-0.28,13.7,0.0
SC-11521,2025-01-25,Dubai,Marseille,Road,Textiles,14049.32,106.69,17.57,-0.18,13.7,0.11875
SC-11522,2025-09-03,Dubai,Antwerp,Road,Perishables,5598.53,396.48,6.63,-0.02,15.88125,0.1625
SC-11523,2025-06-27,Shanghai,Hamburg,Road,Electronics,1970.6,94.27,12.4,0.08,14.15,0.2625
SC-11524,2024-10-28,Rotterdam,Los Angeles,Rail,Electronics,7545.14,34.26,10.76,-0.35,11.125,0.0
SC-11525,2025-04-09,Hamburg,Dubai,Road,Pharmaceuticals,4223.26,499.28,5.11,-0.25,22.25625,0.0
SC-11526,2025-06-01,Singapore,Marseille,Sea,Pharmaceuticals,4630.66,13.38,23.04,0.08,13.7,0.11875
SC-11527,2025-09-11,Dubai,Rotterdam,Rail,Electronics,4955.7,417.79,5.6,-0.02,16.075,0.03125
